              UniqID                   X                   Y                   Z             MaxTime           TotalTime        MaxImpedance      MaxTemperature            MaxPower     MaxAverageForce                   
           505557515              15.500              57.500               5.500              19.367              19.367             102.286              55.000              16.875               1.822                   
           504555516              16.500              55.500               4.500              27.950              27.950             102.286              55.125              17.750               1.914                   
           504527526              26.500              27.500               4.500              43.300              43.300              99.552              55.125              20.750              21.284                   
           504527510              10.500              27.500               4.500               7.850               7.850              98.784              55.500              14.625               7.330                   
           505555516              16.500              55.500               5.500              27.950              27.950             102.286              55.125              17.750               1.914                   
           506555516              16.500              55.500               6.500              27.950              27.950             102.286              55.125              17.750               1.914                   
           505557516              16.500              57.500               5.500              19.367              19.367             102.286              55.000              16.875               1.822                   
           503527505               5.500              27.500               3.500              16.900              16.900              99.212              55.125              12.875               8.126                   
           506557516              16.500              57.500               6.500              19.367              19.367             102.286              55.000              16.875               1.822                   
           504556517              17.500              56.500               4.500              19.367              19.367             102.286              55.000              16.875               1.822                   
           506556517              17.500              56.500               6.500              19.367              19.367             102.286              55.000              16.875               1.822                   
           504530507               7.500              30.500               4.500              26.600              26.600              99.276              55.250              13.750               7.444                   
           505557517              17.500              57.500               5.500              19.367              19.367             102.286              55.000              16.875               1.822                   
           505554515              15.500              54.500               5.500               8.583               8.583             101.575              55.125              17.750               1.914                   
           504554516              16.500              54.500               4.500               8.583               8.583             101.575              55.125              17.750               1.914                   
           505557538              38.500              57.500               5.500              45.250              45.249             121.565              55.250              23.000              12.936                   
           507563540              40.500              63.500               7.500              45.000              44.999             128.955              55.250              22.000              17.552                   
           509567542              42.500              67.500               9.500              46.450              46.449             141.262              55.250              16.000              20.554                   
           502537528              28.500              37.500               2.500              38.317              38.316             101.704              55.250              23.000              14.896                   
           506554516              16.500              54.500               6.500               8.583               8.583             101.575              55.125              17.750               1.914                   
           504555517              17.500              55.500               4.500               8.583               8.583             101.575              55.125              17.750               1.914                   
           509578545              45.500              78.500               9.500              46.350              46.349             161.182              55.750              20.000              26.559                   
           506555517              17.500              55.500               6.500               8.583               8.583             101.575              55.125              17.750               1.914                   
           503543511              11.500              43.500               3.500              28.550              28.550             101.442              55.250              14.250               7.253                   
           503526507               7.500              26.500               3.500               0.700               0.700              98.885              55.000              12.625               7.423                   
           502539526              26.500              39.500               2.500              38.317              38.316             101.704              55.250              23.000              14.896                   
           509577544              44.500              77.500               9.500              46.350              46.349             161.182              55.750              20.000              26.559                   
           503536508               8.500              36.500               3.500              27.950              27.950              99.792              55.250              14.500               7.506                   
           502544511              11.500              44.500               2.500              28.550              28.550             101.442              55.250              14.250               7.253                   
           503544511              11.500              44.500               3.500              28.550              28.550             101.442              55.250              14.250               7.253                   
           503545511              11.500              45.500               3.500              28.550              28.550             101.442              55.250              14.250               7.253                   
           503527525              25.500              27.500               3.500              43.300              43.300              99.552              55.125              20.750              21.284                   
           503543512              12.500              43.500               3.500              28.550              28.550             101.442              55.250              14.250               7.253                   
           504527505               5.500              27.500               4.500               0.050               0.050              98.884              55.000              12.625               7.423                   
           504544512              12.500              44.500               4.500              28.550              28.550             101.442              55.250              14.250               7.253                   
           502545512              12.500              45.500               2.500              28.550              28.550             101.442              55.250              14.250               7.253                   
           508578545              45.500              78.500               8.500              46.300              46.299             161.182              55.750              20.000              26.559                   
           503545512              12.500              45.500               3.500              28.550              28.550             101.442              55.250              14.250               7.253                   
           503543513              13.500              43.500               3.500              28.550              28.550             101.442              55.250              14.250               7.253                   
           502538528              28.500              38.500               2.500              44.450              44.449             101.704              55.250              23.000              14.896                   
           503544513              13.500              44.500               3.500              28.550              28.550             101.442              55.250              14.250               7.253                   
           503545513              13.500              45.500               3.500              28.550              28.550             101.442              55.250              14.250               7.253                   
           502534508               8.500              34.500               2.500              27.833              27.833              99.792              55.250              14.500               7.506                   
           501539528              28.500              39.500               1.500               6.133               6.133             100.117              55.250              22.500              14.722                   
