Eleclectrode_Positions_2.0
Electrode#	Time	X	Y	Z
4	776	12.8046	9.76834	13.9339	
4	793	12.8023	9.77232	13.9276	
4	810	12.8048	9.76944	13.9278	
4	826	12.8064	9.77419	13.9343	
4	843	12.8041	9.76684	13.9343	
4	860	12.8046	9.76817	13.9328	
4	876	12.8037	9.76364	13.9332	
4	893	12.806	9.76365	13.9352	
4	910	12.8074	9.76421	13.9376	
4	926	12.8057	9.76631	13.9345	
4	943	12.809	9.7609	13.9361	
4	960	12.8103	9.7675	13.9288	
4	976	12.8118	9.76081	13.9335	
4	993	12.8123	9.76494	13.9374	
4	1010	12.813	9.76554	13.9317	
4	1026	12.813	9.76715	13.9404	
4	1043	12.8137	9.76874	13.9347	
4	1060	12.8184	9.77048	13.9386	
4	1076	12.8181	9.76071	13.9366	
4	1093	12.8211	9.767	13.9348	
4	1110	12.8238	9.76763	13.9371	
4	1126	12.8233	9.76488	13.9354	
4	1143	12.8239	9.76916	13.9391	
4	1160	12.8292	9.7696	13.9398	
4	1176	12.8293	9.76586	13.9396	
4	1193	12.8288	9.77159	13.9388	
4	1210	12.8293	9.77553	13.9304	
4	1226	12.831	9.77136	13.9356	
4	1243	12.8314	9.77305	13.929	
4	1260	12.8351	9.77683	13.9276	
4	1276	12.8361	9.77972	13.93	
4	1293	12.8309	9.77935	13.9289	
4	1310	12.8404	9.78551	13.9256	
4	1326	12.8356	9.78452	13.9227	
4	1343	12.8386	9.78308	13.916	
4	1360	12.8427	9.78956	13.9244	
4	1376	12.8372	9.79099	13.9177	
4	1393	12.8354	9.79187	13.9077	
4	1410	12.8354	9.79389	13.9017	
4	1426	12.8348	9.79861	13.9026	
4	1443	12.8377	9.80602	13.898	
4	1460	12.8364	9.79605	13.8982	
4	1476	12.8375	9.80274	13.8882	
4	1493	12.8341	9.80387	13.8841	
4	1510	12.8328	9.80726	13.8833	
4	1526	12.8341	9.80939	13.8789	
4	1543	12.8272	9.80783	13.8697	
4	1560	12.8297	9.81097	13.8701	
4	1576	12.8332	9.82195	13.8638	
4	1593	12.827	9.81669	13.866	
4	1610	12.828	9.81988	13.8529	
4	1626	12.8262	9.81792	13.8459	
4	1643	12.824	9.81588	13.8409	
4	1660	12.8272	9.82046	13.8423	
4	1676	12.8236	9.82254	13.8388	
4	1693	12.818	9.81595	13.832	
4	1710	12.8201	9.8244	13.8335	
4	1726	12.8223	9.82966	13.8306	
4	1743	12.8196	9.82475	13.8244	
4	1760	12.8142	9.82328	13.8168	
4	1776	12.8139	9.82634	13.8096	
4	1793	12.8157	9.83024	13.8193	
4	1810	12.8162	9.83167	13.8216	
4	1826	12.8112	9.83042	13.8123	
4	1843	12.8095	9.82965	13.8061	
4	1860	12.8097	9.82423	13.8089	
4	1876	12.8094	9.83354	13.8064	
4	1893	12.8062	9.83265	13.801	
4	1910	12.8053	9.83061	13.8087	
4	1926	12.8084	9.82974	13.8108	
4	1943	12.8045	9.83034	13.8068	
4	1960	12.8077	9.83552	13.8054	
4	1976	12.8057	9.83608	13.8074	
4	1993	12.8054	9.8281	13.8135	
4	2010	12.8039	9.83634	13.81	
4	2026	12.8077	9.83229	13.8136	
4	2043	12.8026	9.83138	13.8117	
4	2060	12.8055	9.83049	13.8061	
4	2076	12.8039	9.82799	13.8118	
4	2093	12.8038	9.82974	13.8096	
4	2110	12.8038	9.83157	13.822	
4	2126	12.8096	9.83086	13.8249	
4	2143	12.8044	9.82591	13.8139	
4	2160	12.8025	9.83006	13.8137	
4	2176	12.8052	9.83134	13.813	
4	2193	12.8051	9.82478	13.8166	
4	2210	12.8086	9.82408	13.8224	
4	2226	12.8102	9.82197	13.8228	
4	2243	12.8092	9.8293	13.8216	
4	2260	12.806	9.81864	13.8294	
4	2276	12.8087	9.82144	13.8198	
4	2293	12.8083	9.82264	13.8247	
4	2310	12.8122	9.81865	13.825	
4	2326	12.8133	9.82014	13.8283	
4	2343	12.8118	9.82073	13.831	
4	2360	12.8106	9.81657	13.8294	
4	2376	12.811	9.80593	13.8242	
4	2393	12.813	9.8124	13.8285	
4	2410	12.8137	9.80943	13.8276	
4	2426	12.8153	9.80326	13.83	
4	2443	12.8145	9.80348	13.8281	
4	2460	12.8182	9.79496	13.8314	
4	2476	12.8174	9.79843	13.8296	
4	2493	12.8159	9.79825	13.829	

